,name,start_pos,end_pos,tag,score
684,Thomson,83185,83192,ORG,1
685,Great Britain,83280,83293,GPE,1
686,the last ten years,83344,83362,DATE,1
687,Scotland Yard,83655,83668,ORG,1
688,ten minutes,83721,83732,TIME,1
689,two,83746,83749,CARDINAL,1
690,Cabinet,83750,83757,ORG,1
691,Thomson,83868,83875,PERSON,1
692,army,84105,84109,ORG,1
693,navy,84118,84122,ORG,1
694,army,84292,84296,ORG,1
695,One,84386,84389,CARDINAL,1
696,millions,84459,84467,CARDINAL,1
697,thousands,84481,84490,CARDINAL,1
698,Two,84753,84756,CARDINAL,1
699,Thomson,84813,84820,PERSON,1
700,Channel,85151,85158,NORP,1
701,talking?”he,85230,85241,PERSON,1
702,"blamed,”Thomson",85273,85288,ORG,1
703,a D. S. O.,85372,85382,PERSON,1
704,the Victoria Cross,85453,85471,ORG,1
705,Germans,85529,85536,NORP,1
706,last night,85781,85791,TIME,1
707,a dozen,85803,85810,CARDINAL,1
708,the next week,85824,85837,DATE,1
709,half,86069,86073,CARDINAL,1
710,Thomson,86138,86145,PERSON,1
711,Thomson,86148,86155,ORG,1
712,one,86219,86222,CARDINAL,1
713,North,86276,86281,LOC,1
714,France,86285,86291,GPE,1
715,Brice,86302,86307,PERSON,1
716,more than one,86539,86552,CARDINAL,1
717,friend?”Thomson,86701,86716,ORG,1
718,“He,86785,86788,PERSON,1
719,Thomson,86863,86870,ORG,1
720,"fact,”General Brice",86995,87014,PERSON,1
721,this afternoon,87145,87159,TIME,1
722,Thomson,87501,87508,ORG,1
723,Thomson,87804,87811,PERSON,1
724,this morning,88001,88013,TIME,1
725,Board,88055,88060,ORG,1
726,Saturday,88064,88072,DATE,1
727,uncurtained,88336,88347,ORG,1
728,Brice,88509,88514,PERSON,1
729,"know,”he",88633,88641,PERSON,1
730,"sir,”he",88805,88812,PERSON,1
731,"fellow,”he",88895,88905,PERSON,1
732,only yesterday,88949,88963,DATE,1
733,one,89046,89049,CARDINAL,1
734,"appointment,”he",89136,89151,ORG,1
735,Thomson,89389,89396,ORG,1
736,foolscap,89450,89458,ORG,1
737,"Granet,”he",89565,89575,PERSON,1
738,"Thomson,”he",89727,89738,PERSON,1
739,General,89886,89893,ORG,1
740,the cubic feet,90065,90079,QUANTITY,1
741,"Thomson,”he",90152,90163,ORG,1
742,"Granet,”he",90223,90233,PERSON,1
743,Front,90372,90377,ORG,1
744,Brice,90547,90552,PERSON,1
745,"Thomson,”he said,“frankly",90584,90609,WORK_OF_ART,1
746,"him,”Surgeon",90765,90777,ORG,1
747,Thomson,90784,90791,PERSON,1
748,Front,90886,90891,ORG,1
749,Brice,90907,90912,PERSON,1
750,again?”he,90947,90956,CARDINAL,1
751,Saturday,91084,91092,DATE,1
752,morning,91093,91100,TIME,1
753,Brice,91111,91116,PERSON,1
754,"right,”he",91155,91164,PERSON,1
755,Admiralty,91243,91252,ORG,1
756,Thomson,91304,91311,PERSON,1
757,Thomson,91461,91468,PERSON,1
758,about twelve hours,91475,91493,TIME,1
759,first,91561,91566,ORDINAL,1
760,Victoria,91703,91711,GPE,1
761,Folkestone,91715,91725,GPE,1
762,Channel,91799,91806,LOC,1
763,Boulogne,91901,91909,GPE,1
764,the misty night,92135,92150,TIME,1
765,a white gate,92263,92275,FAC,1
766,British,92311,92318,NORP,1
767,Thomson,92362,92369,PERSON,1
768,"A friend,”he",92423,92435,WORK_OF_ART,1
769,Thomson,92462,92469,PERSON,1
770,the grey valley,92927,92942,LOC,1
771,the morning,93098,93109,TIME,1
772,valley,93414,93420,LOC,1
773,red cross,93668,93677,ORG,1
774,One,94138,94141,CARDINAL,1
775,spade,94166,94171,PERSON,1
776,a dozen yards,94207,94220,QUANTITY,1
777,Thomson,94425,94432,PERSON,1
778,German,94507,94513,NORP,1
779,Four,94686,94690,CARDINAL,1
780,l'Anglais,94840,94849,PERSON,1
781,Thomson,95445,95452,PERSON,1
782,all night,95576,95585,TIME,1
783,Thomson,95632,95639,PERSON,1
784,French,95817,95823,NORP,1
785,the last two days,95879,95896,DATE,1
786,Bavarians,95929,95938,NORP,1
787,Thomson,96014,96021,PERSON,1
788,two,96119,96122,CARDINAL,1
789,One,96321,96324,CARDINAL,1
790,two,96328,96331,CARDINAL,1
791,Thomson,96355,96362,PERSON,1
792,an hour,96453,96460,TIME,1
793,yesterday,96575,96584,DATE,1
794,a quarter of a mile,96600,96619,QUANTITY,1
795,Thomson,96731,96738,PERSON,1
796,Boulogne,96856,96864,GPE,1
797,London,96886,96892,GPE,1
798,One,96904,96907,CARDINAL,1
799,London,96975,96981,GPE,1
800,God!”he,96986,96993,PERSON,1
801,London,97021,97027,GPE,1
802,Savoy,97040,97045,GPE,1
803,Carlton,97050,97057,GPE,1
804,Pall Mall,97071,97080,FAC,1
805,September,97197,97206,DATE,1
806,a week,97270,97276,DATE,1
807,Wattles,97580,97587,PERSON,1
808,one,97597,97600,CARDINAL,1
809,a Sole Colbert,97692,97706,WORK_OF_ART,1
810,Savoy,97726,97731,ORG,1
811,Alhambra,97757,97765,FAC,1
812,many weeks,97774,97784,DATE,1
813,Chap,98074,98078,WORK_OF_ART,1
814,"yesterday,”he",98119,98132,PERSON,1
815,Major,98186,98191,PERSON,1
816,Thomson,98194,98201,ORG,1
817,One,98219,98222,CARDINAL,1
818,Johnny Oates,98267,98279,PERSON,1
819,one,98311,98314,CARDINAL,1
820,Thomson,98397,98404,PERSON,1
821,"once,”he",98473,98481,PERSON,1
822,Thomson,98493,98500,ORG,1
823,third,98635,98640,ORDINAL,1
824,Ordnance,98683,98691,ORG,1
825,Thomson,98824,98831,ORG,1
826,Nine o'clock last evening,98872,98897,TIME,1
827,"sir,”Thomson",98899,98911,PERSON,1
828,Harewood,99119,99127,ORG,1
829,Harrison,99174,99182,ORG,1
830,"Well,”he",99266,99274,PERSON,1
831,the War Office,99375,99389,ORG,1
832,British,100500,100507,NORP,1
833,second,100989,100995,ORDINAL,1
834,four hundred,101012,101024,CARDINAL,1
835,Ossray,101064,101070,GPE,1
836,Ossray,101177,101183,ORG,1
837,Germans,101210,101217,NORP,1
838,Major,101345,101350,PERSON,1
839,sir!”Thomson,101359,101371,ORG,1
840,"sir,”Thomson",101826,101838,ORG,1
841,Thomson,102100,102107,ORG,1
842,England,102268,102275,GPE,1
843,Three months ago,102382,102398,DATE,1
844,the night,102407,102416,TIME,1
845,the Third Army Corps,102422,102442,ORG,1
846,Niemen,102449,102455,ORG,1
847,German,102628,102634,NORP,1
848,German,102736,102742,NORP,1
849,a few feet,102750,102760,QUANTITY,1
850,two,102829,102832,CARDINAL,1
851,One,102842,102845,CARDINAL,1
852,German,102875,102881,NORP,1
853,British,103314,103321,NORP,1
854,German,103358,103364,NORP,1
855,English,103384,103391,LANGUAGE,1
856,a hundred yards,103504,103519,QUANTITY,1
857,German,103527,103533,NORP,1
858,Granet,103909,103915,PERSON,1
859,Ritz,103947,103951,ORG,1
860,a few days ago,103953,103967,DATE,1
861,the War Office,104356,104370,ORG,1
862,Thomson,104413,104420,ORG,1
863,A few minutes later,104449,104468,TIME,1
864,Boulogne,104510,104518,GPE,1
865,Olive Moreton,104520,104533,ORG,1
866,grey,104567,104571,PERSON,1
867,Granet,104655,104661,PERSON,1
868,Moreton,104758,104765,PERSON,1
869,early this morning,104976,104994,TIME,1
870,"Geraldine Conyers,”she",105047,105069,PERSON,1
871,"that,”he",105101,105109,ORG,1
872,Ralph,105331,105336,PERSON,1
873,Portsmouth,105364,105374,GPE,1
874,first,105382,105387,ORDINAL,1
875,this morning,105407,105419,TIME,1
876,two o'clock,105484,105495,TIME,1
877,Scorpion,105521,105529,PRODUCT,1
878,Geraldine,105627,105636,PERSON,1
879,"what,”he",105763,105771,CARDINAL,1
880,Conyers,105817,105824,PERSON,1
881,one o'clock,105883,105894,TIME,1
882,a couple of hours,105918,105935,TIME,1
883,Geraldine,106071,106080,PERSON,1
884,Conyers,106190,106197,PERSON,1
885,two hours,106325,106334,TIME,1
886,Geraldine,106425,106434,PERSON,1
887,Geraldine,106546,106555,PERSON,1
888,five minutes,106613,106625,TIME,1
889,one o'clock,106781,106792,TIME,1
890,Conyers,106812,106819,GPE,1
891,last day,106822,106830,DATE,1
892,Navy,107067,107071,ORG,1
893,Geraldine,107135,107144,PERSON,1
894,Portsmouth,107320,107330,GPE,1
895,Ralph,107348,107353,PERSON,1
896,"brother,”he",107386,107397,PERSON,1
897,Portsmouth,107452,107462,GPE,1
898,one,108010,108013,CARDINAL,1
899,Six,108035,108038,CARDINAL,1
900,Conyers,108064,108071,PERSON,1
901,one o'clock,108514,108525,TIME,1
902,Portsmouth,108539,108549,GPE,1
903,Ralph,108662,108667,PERSON,1
904,seven,108718,108723,CARDINAL,1
905,one,108734,108737,CARDINAL,1
906,three,108744,108749,CARDINAL,1
907,seven,108792,108797,CARDINAL,1
908,"there,”he",108806,108815,DATE,1
909,“Ralph,108965,108971,ORG,1
910,Granet,109164,109170,PERSON,1
911,"right,”he",109565,109574,PERSON,1
912,a very few minutes,109755,109773,TIME,1
913,four,109872,109876,CARDINAL,1
914,"Personally,”Geraldine",109999,110020,WORK_OF_ART,1
915,Ralph,110171,110176,PERSON,1
916,Scorpion,110224,110232,ORG,1
917,Geraldine,110265,110274,PERSON,1
918,Thirty-nine,110472,110483,CARDINAL,1
919,two,110823,110826,CARDINAL,1
920,Ralph,110884,110889,PERSON,1
921,saw!”Geraldine,111071,111085,PERSON,1
922,hours,111161,111166,TIME,1
923,Thomson,111626,111633,PERSON,1
924,Geraldine,111897,111906,PERSON,1
925,Marine,112229,112235,NORP,1
926,there?”Granet,112542,112555,ORG,1
927,landsman,112609,112617,NORP,1
928,"now,”he",112763,112770,ORG,1
929,fourth,113557,113563,ORDINAL,1
930,this morning,113636,113648,TIME,1
931,“He,113830,113833,ORG,1
932,Granet,113942,113948,PERSON,1
933,seawards,114115,114123,ORG,1
934,one,114140,114143,CARDINAL,1
935,Conyers,114492,114499,PERSON,1
936,Thomson,114558,114565,PERSON,1
937,"Certainly I am,”she",114729,114748,WORK_OF_ART,1
938,first,115034,115039,ORDINAL,1
939,Captain Granet!”she exclaimed,115864,115893,WORK_OF_ART,1
940,Thomson,116038,116045,ORG,1
941,first,116170,116175,ORDINAL,1
942,Geraldine,116645,116654,PERSON,1
943,yet!”Geraldine,116863,116877,PERSON,1
944,Conyers,116889,116896,ORG,1
945,Conyers,117065,117072,ORG,1
946,"Gels,”he explained,“and",117192,117215,ORG,1
947,Granet,117221,117227,PERSON,1
948,tide?”Geraldine,117570,117585,ORG,1
949,Conyers,117609,117616,ORG,1
950,"that,”he",117644,117652,ORG,1
951,thing?”Olive,117867,117879,LOC,1
952,Conyers,117936,117943,ORG,1
953,four,118021,118025,CARDINAL,1
954,Thomson,118039,118046,PERSON,1
955,Admiralty,118281,118290,ORG,1
956,"Scorpion,”Conyers",118411,118428,ORG,1
957,the mile,118728,118736,QUANTITY,1
958,Geraldine,118838,118847,PERSON,1
959,Granet,118876,118882,PERSON,1
960,Scorpion,118916,118924,PRODUCT,1
961,Ralph,119221,119226,PERSON,1
962,Thomson,119511,119518,PERSON,1
963,Front,120014,120019,ORG,1
964,Ralph,120154,120159,PERSON,1
965,two,120271,120274,CARDINAL,1
966,Scorpion,120353,120361,ORG,1
967,Captain Granet?”Olive,120489,120510,ORG,1
968,Geraldine,120518,120527,PERSON,1
969,Ralph,120973,120978,PERSON,1
970,"brother,”he",121312,121323,PERSON,1
971,telescope?”Geraldine,121358,121378,PERSON,1
972,"downstairs,”he",121406,121420,DATE,1
973,first,121601,121606,ORDINAL,1
974,Geraldine,121694,121703,PERSON,1
975,"Granet,”she said,“but",121805,121826,PERSON,1
976,Ralph,121852,121857,PERSON,1
977,Granet,122040,122046,PERSON,1
978,"right,”he",122080,122089,PERSON,1
979,"please,”he",122435,122445,PERSON,1
980,two,122469,122472,CARDINAL,1
981,Granet,122507,122513,PERSON,1
982,Front,122889,122894,ORG,1
983,a few days,122911,122921,DATE,1
984,Conyers,122957,122964,PERSON,1
985,Conyers,122986,122993,PERSON,1
986,Olive Moreton,123020,123033,PERSON,1
987,Conyers,123077,123084,PERSON,1
988,Portsmouth,123212,123222,GPE,1
989,one,123311,123314,CARDINAL,1
990,"sir,”he",123350,123357,PERSON,1
991,"right,”he",123645,123654,PERSON,1
992,Admiralty,123732,123741,ORG,1
993,Southsea,123842,123850,GPE,1
994,arrest?”he,123873,123883,LAW,1
995,Conyers,124099,124106,PERSON,1
996,Scorpion,124141,124149,ORG,1
997,evening,124192,124199,TIME,1
998,Channel,124435,124442,ORG,1
999,London,124520,124526,GPE,1
1000,Geraldine,124529,124538,PERSON,1
1001,a few hours later,124540,124557,TIME,1
1002,Conyers,124631,124638,PERSON,1
1003,Geraldine,124769,124778,PERSON,1
1004,the War Office,124835,124849,ORG,1
1005,France,124896,124902,GPE,1
1006,Lady Conyers,125036,125048,PERSON,1
1007,all day,125163,125170,DATE,1
1008,good-night,125190,125200,TIME,1
1009,Geraldine,125210,125219,PERSON,1
1010,morning,125264,125271,TIME,1
1011,"him,”she",125290,125298,ORG,1
1012,Times,125384,125389,ORG,1
1013,Granet?”he,125424,125434,PERSON,1
1014,Seymour,125663,125670,PERSON,1
1015,English,125709,125716,LANGUAGE,1
1016,Geraldine,125759,125768,PERSON,1
1017,Geraldine,125882,125891,PERSON,1
1018,Army,126010,126014,ORG,1
1019,Thomson,126041,126048,PERSON,1
1020,Conyers,126082,126089,PERSON,1
1021,some day,126141,126149,DATE,1
1022,Thomson,126310,126317,PERSON,1
1023,Geraldine,126364,126373,PERSON,1
1024,a few minutes later,126456,126475,TIME,1
1025,Thomson,126483,126490,PERSON,1
1026,Portsmouth,126905,126915,GPE,1
1027,today,126916,126921,DATE,1
1028,Scorpion,126973,126981,PRODUCT,1
1029,Geraldine,126984,126993,PERSON,1
1030,Geraldine,127144,127153,PERSON,1
1031,first,127164,127169,ORDINAL,1
1032,sixty,127448,127453,CARDINAL,1
1033,Panhard,127466,127473,PRODUCT,1
1034,the War Office,127774,127788,ORG,1
1035,suspicion?”Geraldine,127798,127818,PERSON,1
1036,"him,”Thomson",127870,127882,ORG,1
1037,German,128036,128042,NORP,1
1038,Geraldine,128049,128058,PERSON,1
1039,the Intelligence Department,128506,128533,ORG,1
1040,the War Office,128541,128555,ORG,1
1041,German,128611,128617,NORP,1
1042,"myself,”Thomson continued,“have",128662,128693,ORG,1
1043,Front,128876,128881,ORG,1
1044,"life,”he",128981,128989,PERSON,1
1045,Geraldine,129398,129407,PERSON,1
1046,"country,”he",129941,129952,PERSON,1
1047,“Geraldine,129962,129972,PERSON,1
1048,the War Office,130074,130088,ORG,1
1049,"me,”he",130294,130300,DATE,1
1050,"yes,”he",130878,130885,ORG,1
1051,third,131277,131282,ORDINAL,1
1052,Geraldine?”he,131680,131693,PERSON,1
1053,"Geraldine,”he",132114,132127,ORG,1
1054,Thomson,132858,132865,PERSON,1
1055,too!”he,132932,132939,PERSON,1
1056,Granet,132968,132974,PERSON,1
1057,a dozen,132984,132991,CARDINAL,1
1058,Lady Conyers,133068,133080,PERSON,1
1059,searchingly,133102,133113,PERSON,1
1060,"dear,”she",133170,133179,ORG,1
1061,a little after noon,133189,133208,TIME,1
1062,the Milan Hotel,133290,133305,FAC,1
1063,Guillot,133498,133505,PERSON,1
1064,Guillot,133555,133562,PERSON,1
1065,last night,133571,133581,TIME,1
1066,"sir,”he",133583,133590,PERSON,1
1067,"page,”he",133697,133705,PERSON,1
1068,322,133794,133797,CARDINAL,1
1069,third,133871,133876,ORDINAL,1
1070,Frenchman,133928,133937,NORP,1
1071,Monsieur Guillot?”Captain Granet,133940,133972,WORK_OF_ART,1
1072,Frenchman,134018,134027,NORP,1
1073,Guillot,134100,134107,PERSON,1
1074,France,134207,134213,GPE,1
1075,Frenchman,134246,134255,NORP,1
1076,"My friend,”he confessed,“for",134284,134312,WORK_OF_ART,1
1077,"Front,”he",134428,134437,ORG,1
1078,English,134479,134486,NORP,1
1079,Guillot,134505,134512,PERSON,1
1080,"surprised,”he",134753,134766,ORG,1
1081,Germany,134997,135004,GPE,1
1082,Guillot,135064,135071,PERSON,1
1083,Times,135154,135159,ORG,1
1084,"Yes,”he continued,“I",135219,135239,WORK_OF_ART,1
1085,Press,135254,135259,ORG,1
1086,Front,135463,135468,ORG,1
1087,Germany,135525,135532,GPE,1
1088,Russia,135786,135792,GPE,1
1089,English,136007,136014,LANGUAGE,1
1090,Englishman,136086,136096,NORP,1
1091,Guillot,136500,136507,PERSON,1
1092,Cabinet,136525,136532,ORG,1
1093,France,136659,136665,GPE,1
1094,Guillot,136819,136826,PERSON,1
1095,English,137015,137022,NORP,1
1096,Germany,137084,137091,GPE,1
1097,two,137171,137174,CARDINAL,1
1098,First,137183,137188,ORDINAL,1
1099,Alsatian,137277,137285,NORP,1
1100,secondly,137301,137309,ORDINAL,1
1101,England,137385,137392,GPE,1
1102,"relief,”Monsieur Guillot",137417,137441,PERSON,1
1103,"Guillot,”he",137673,137684,PERSON,1
1104,three weeks ago,137867,137882,DATE,1
1105,Kaiser,137905,137911,PERSON,1
1106,Guillot,137931,137938,PERSON,1
1107,Ossray,138057,138063,ORG,1
1108,German,138234,138240,NORP,1
1109,Guillot,138427,138434,PERSON,1
1110,Kaiser,138512,138518,PERSON,1
1111,more than a fortnight,138562,138583,DATE,1
1112,Guillot,138705,138712,PERSON,1
1113,Germany,138895,138902,GPE,1
1114,Alsace,138916,138922,GPE,1
1115,"Lorraine,”he",138927,138939,ORG,1
1116,"hoarsely,“and",138945,138958,ORG,1
1117,Germany,139218,139225,GPE,1
1118,years,139324,139329,DATE,1
1119,Alsace,139331,139337,GPE,1
1120,Lorraine,139342,139350,PERSON,1
1121,French,139389,139395,NORP,1
1122,Russia,139417,139423,GPE,1
1123,Russia,139446,139452,GPE,1
1124,England,139457,139464,GPE,1
1125,Germany,139515,139522,GPE,1
1126,Guillot,139584,139591,PERSON,1
1127,the hour,139658,139666,TIME,1
1128,Guillot,139786,139793,PERSON,1
1129,"Supposing I succeed,”he",139854,139877,WORK_OF_ART,1
1130,European,140123,140131,NORP,1
1131,years,140188,140193,DATE,1
1132,English,140332,140339,LANGUAGE,1
1133,Germany,140596,140603,GPE,1
1134,America,140671,140678,GPE,1
1135,hundred,140735,140742,CARDINAL,1
1136,Guillot,140826,140833,PERSON,1
1137,Englishmen,140868,140878,NORP,1
1138,English,140986,140993,LANGUAGE,1
1139,I.,141006,141008,PERSON,1
1140,Guillot,141019,141026,PERSON,1
1141,"men,”he",141203,141210,ORG,1
1142,Dejane,141230,141236,PERSON,1
1143,Debonnot,141247,141255,PERSON,1
1144,Senn,141257,141261,PERSON,1
1145,"freely,”he",141415,141425,PERSON,1
1146,England,141596,141603,GPE,1
1147,Guillot,141615,141622,PERSON,1
1148,Paris,141736,141741,GPE,1
1149,France,141863,141869,GPE,1
1150,Geraldine,142224,142233,PERSON,1
1151,"Captain Granet,”she said,“I",142267,142294,WORK_OF_ART,1
1152,Yes?”he,142327,142334,PERSON,1
1153,Thomson,142577,142584,PERSON,1
1154,"Decidedly,”Granet",142842,142859,PERSON,1
1155,Guillot,142946,142953,PERSON,1
1156,more than an hour,142994,143011,TIME,1
1157,Thames,143128,143134,GPE,1
1158,one,143344,143347,CARDINAL,1
1159,one,143403,143406,CARDINAL,1
1160,France,143499,143505,GPE,1
1161,France,143633,143639,GPE,1
1162,millions,143702,143710,CARDINAL,1
1163,France,143748,143754,GPE,1
1164,One,143978,143981,CARDINAL,1
1165,France,144143,144149,GPE,1
1166,Frenchman,144321,144330,NORP,1
1167,"Baron D'Evignon,”he",144493,144512,ORG,1
1168,Embassy,144548,144555,ORG,1
1169,Guillot,144572,144579,PERSON,1
1170,Monsieur Guillot,144901,144917,PERSON,1
1171,Lille,144936,144941,GPE,1
1172,Baron,144948,144953,PERSON,1
1173,"Guillot,”he",145037,145048,PERSON,1
1174,Embassy,145161,145168,ORG,1
1175,a few minutes,145180,145193,TIME,1
1176,Guillot,145239,145246,PERSON,1
1177,Guillot,145357,145364,PERSON,1
1178,Baron,145633,145638,PERSON,1
1179,"sir,”he",145685,145692,PERSON,1
1180,Guillot,145889,145896,PERSON,1
1181,Lille,145900,145905,GPE,1
1182,Henri Pailleton,145984,145999,PERSON,1
1183,Guillot,146067,146074,PERSON,1
1184,a few minutes ago,146126,146143,TIME,1
1185,"mistake,”he",146400,146411,DATE,1
1186,Embassy,146484,146491,ORG,1
1187,Embassy,146599,146606,ORG,1
1188,two,146656,146659,CARDINAL,1
1189,Guillot,146820,146827,PERSON,1
1190,"began,“will",146902,146913,PERSON,1
1191,England,147043,147050,GPE,1
1192,Frenchmen,147220,147229,NORP,1
1193,Pailleton,147376,147385,ORG,1
1194,Brazil,147640,147646,GPE,1
1195,Pailleton,147828,147837,PERSON,1
1196,Liverpool,147898,147907,GPE,1
1197,this afternoon,147908,147922,TIME,1
1198,Brazil,147931,147937,GPE,1
1199,Hermes,147965,147971,ORG,1
1200,Pailleton,147983,147992,PERSON,1
1201,these days,148431,148441,DATE,1
1202,France,148504,148510,GPE,1
1203,Pailleton,148578,148587,PERSON,1
1204,Brazil,148727,148733,GPE,1
1205,Pailleton,148912,148921,PERSON,1
1206,Brazil,148964,148970,GPE,1
1207,Pailleton,149004,149013,ORG,1
1208,"Monsieur Pailleton,”he",149284,149306,WORK_OF_ART,1
1209,France,149333,149339,GPE,1
1210,France,149589,149595,GPE,1
1211,today,149604,149609,DATE,1
1212,Brazil,149800,149806,GPE,1
1213,"you,”he",149901,149908,ORG,1
1214,French,149996,150002,NORP,1
1215,France,150145,150151,GPE,1
1216,Detain me?,150155,150165,WORK_OF_ART,1
1217,charge?”Pailleton,150174,150191,PERSON,1
1218,the Milan Hotel,150364,150379,FAC,1
1219,Pailleton,150399,150408,PERSON,1
1220,belongings?”he,150670,150684,PRODUCT,1
1221,Germany,150730,150737,GPE,1
1222,French,150745,150751,NORP,1
1223,second,150802,150808,ORDINAL,1
1224,first,150842,150847,ORDINAL,1
1225,second,150944,150950,ORDINAL,1
1226,Pailleton,150961,150970,PERSON,1
1227,Brazil,151027,151033,GPE,1
1228,Pailleton,151076,151085,PERSON,1
1229,France,151161,151167,GPE,1
1230,One,151261,151264,CARDINAL,1
1231,Defarge,151317,151324,PERSON,1
1232,French,151506,151512,NORP,1
1233,"Monsieur le Colonel,”the",151531,151555,PERSON,1
1234,the Milan Hotel,151970,151985,FAC,1
1235,Pailleton,152060,152069,ORG,1
1236,Pailleton,152129,152138,ORG,1
1237,Brazil,152220,152226,GPE,1
1238,Admiralty,152233,152242,ORG,1
1239,last night,152269,152279,TIME,1
1240,Conyers,152305,152312,PERSON,1
1241,German,152373,152379,NORP,1
1242,U 22,152391,152395,LOC,1
1243,27,152400,152402,DATE,1
1244,a few mornings later,152493,152513,TIME,1
1245,“Ralph,152514,152520,ORG,1
1246,Geraldine,152560,152569,PERSON,1
1247,seven,152625,152630,CARDINAL,1
1248,“Harris,152653,152660,PERSON,1
1249,Park,152763,152767,LOC,1
1250,two,152865,152868,CARDINAL,1
1251,Geraldine,152958,152967,PERSON,1
1252,Olive,153051,153056,PERSON,1
1253,“Ralph,153092,153098,ORG,1
1254,Ralph,153390,153395,PERSON,1
1255,Morning Post,153599,153611,PERSON,1
1256,the other day,153622,153635,DATE,1
1257,Lady Conyers,153718,153730,PERSON,1
1258,"Ralph,”she",153794,153804,PERSON,1
1259,two,153835,153838,CARDINAL,1
1260,Ralph,153874,153879,PERSON,1
1261,"sea,”he",154034,154041,PERSON,1
1262,Germans,154107,154114,NORP,1
1263,over months,154144,154155,DATE,1
1264,Admiralty,154204,154213,ORG,1
1265,Ralph,154272,154277,PERSON,1
1266,Geraldine,154417,154426,PERSON,1
1267,"Conyers,”he",154468,154479,PERSON,1
1268,Geraldine,154491,154500,PERSON,1
1269,Granet?”she,154603,154614,PERSON,1
1270,Conyers,154694,154701,PERSON,1
1271,half a dozen,154744,154756,CARDINAL,1
1272,this morning,154784,154796,TIME,1
1273,Admiralty,154935,154944,ORG,1
1274,"out,”Geraldine",154961,154975,ORG,1
1275,this morning,155068,155080,TIME,1
1276,Portsmouth,155224,155234,GPE,1
1277,one,155293,155296,CARDINAL,1
1278,"know,”he",155458,155466,LAW,1
1279,this morning,155577,155589,TIME,1
1280,Conyers,155596,155603,PERSON,1
1281,Ranelagh,155660,155668,WORK_OF_ART,1
1282,four o'clock,155736,155748,TIME,1
1283,hospitably,156087,156097,PERSON,1
1284,“He,156098,156101,PERSON,1
1285,Granet,156126,156132,PERSON,1
1286,Lady Conyers,156173,156185,PERSON,1
1287,Geraldine,156203,156212,PERSON,1
1288,Admiralty,156349,156358,ORG,1
1289,a few minutes later,156510,156529,TIME,1
1290,Lady Conyers,156534,156546,PERSON,1
1291,Thomson,156697,156704,PERSON,1
1292,Hugh,156843,156847,PERSON,1
1293,"Hugh,”Lady Conyers",156935,156953,PERSON,1
1294,Geraldine,157113,157122,PERSON,1
1295,"mother,”she",157296,157307,PERSON,1
1296,Hugh,157332,157336,PERSON,1
1297,France,157565,157571,GPE,1
1298,Front,157663,157668,ORG,1
1299,Lady Conyers,157702,157714,PERSON,1
1300,Conyers,158076,158083,GPE,1
1301,Major Tyndale,158113,158126,PERSON,1
1302,Front,158149,158154,ORG,1
1303,the other day,158155,158168,DATE,1
1304,a V. C. and goodness,158174,158194,PERSON,1
1305,one,158241,158244,CARDINAL,1
1306,Conyers,158562,158569,ORG,1
1307,Geraldine,158626,158635,PERSON,1
1308,Hugh,158660,158664,PERSON,1
1309,Conyers,158990,158997,PERSON,1
1310,Geraldine,159008,159017,PERSON,1
1311,Captain Granet,159107,159121,PERSON,1
1312,"Conyers suggested,“that Hugh",159329,159357,ORG,1
1313,Lady Conyers,159467,159479,PERSON,1
1314,Geraldine,159601,159610,PERSON,1
1315,Conyers,159873,159880,PERSON,1
1316,Hugh,159973,159977,PERSON,1
1317,Hugh,160031,160035,PERSON,1
1318,about a week,160093,160105,DATE,1
1319,Geraldine rose,160108,160122,PERSON,1
1320,Captain Granet,160153,160167,PERSON,1
1321,"him,”Lady Conyers",160196,160213,PERSON,1
1322,Hugh,160270,160274,PERSON,1
1323,Hugh,160376,160380,PERSON,1
1324,Lady Conyers,160392,160404,PERSON,1
1325,Ranelagh,160497,160505,PERSON,1
1326,half-past,160509,160518,DATE,1
1327,"ten,”she",160519,160527,GPE,1
1328,Conyers,160714,160721,GPE,1
1329,two,160775,160778,CARDINAL,1
1330,Hugh,160854,160858,PERSON,1
1331,the other day,161090,161103,DATE,1
1332,St. James 's Park,161190,161207,GPE,1
1333,two,161288,161291,CARDINAL,1
1334,One,161328,161331,CARDINAL,1
1335,Hugh,161344,161348,PERSON,1
1336,the War Office,161398,161412,ORG,1
1337,some day,161655,161663,DATE,1
1338,Hugh,161689,161693,PERSON,1
1339,Geraldine,161878,161887,PERSON,1
1340,third,161996,162001,ORDINAL,1
1341,two,162066,162069,CARDINAL,1
1342,Downing Street,162117,162131,FAC,1
1343,Pall Mall,162162,162171,FAC,1
1344,One,162260,162263,CARDINAL,1
1345,Gordon Jones,162335,162347,PERSON,1
1346,"Empire,”Mr",162905,162915,ORG,1
1347,Gordon Jones,162917,162929,PERSON,1
1348,those days,163003,163013,DATE,1
1349,Alfred,163141,163147,PERSON,1
1350,Englishmen,163382,163392,NORP,1
1351,Pall Mall,163480,163489,FAC,1
1352,Thomson,163743,163750,PERSON,1
1353,six,163906,163909,CARDINAL,1
1354,Thomson,163962,163969,PERSON,1
1355,Field Hospitals,163990,164005,ORG,1
1356,Alfred,164012,164018,PERSON,1
1357,two,164358,164361,CARDINAL,1
1358,Alfred,164381,164387,PERSON,1
